id,category,is_correct,prediction,correct_answer
280,Treatment,False,Unknown,B
281,Mechanism,False,Unknown,C
282,Diagnosis,False,Unknown,A
283,Diagnosis,False,Unknown,A
284,Mechanism,False,Unknown,A
285,Diagnosis,False,Unknown,C
286,Treatment,True,C,C
287,Treatment,False,Unknown,A
288,Diagnosis,False,Unknown,B
289,Mechanism,False,Unknown,C
290,Mechanism,False,Unknown,B
291,Mechanism,False,Unknown,A
292,Diagnosis,False,Unknown,C
293,Treatment,False,Unknown,A
294,Mechanism,False,Unknown,A
295,Diagnosis,False,Unknown,A
296,Diagnosis,False,Unknown,A
297,Treatment,False,Unknown,D
298,Diagnosis,False,Unknown,D
299,Mechanism,False,Unknown,B
